"asset_id","display_name_pt","display_name_en","canonical_task","canonical_catalog","source_catalogs","definition_count","asset_class","domain","category","production_phase","priority","tier","generation_method","catalog_status","task019_queue","prompt_count","concept_prompt_path","geometry_prompt_path","texture_prompt_path","pipeline_path","unity_target_path","unity_target_kind"
"anim_boss_demon_lord","Animações — Lorde Demônio","Demon Lord Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Season 1","P1","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Demon","Planned destination; existence not asserted"
"anim_boss_goblin_chieftain","Animações — Chefe Goblin","Goblin Chieftain Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Season 1","P1","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Goblin","Planned destination; existence not asserted"
"anim_boss_goblin_king","Animações — Rei Goblin","Goblin King Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Season 1","P1","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Goblin","Planned destination; existence not asserted"
"anim_boss_incubus_warden","Animações — Guardião Íncubo","Incubus Warden Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Season 1","P1","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Demon","Planned destination; existence not asserted"
"anim_boss_lich","Animações — Lich","Lich Boss Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Season 1","P1","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Undead","Planned destination; existence not asserted"
"anim_enemy_ghoul","Animações — Carniçal","Ghoul Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Season 1","P1","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Undead","Planned destination; existence not asserted"
"anim_enemy_goblin_caster","Animações — Goblin Caster","Goblin Caster Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Vertical Slice","P0","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Goblin","Planned destination; existence not asserted"
"anim_enemy_goblin_melee","Animações — Goblin Melee","Goblin Melee Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Vertical Slice","P0","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Goblin","Planned destination; existence not asserted"
"anim_enemy_goblin_ranged","Animações — Goblin Ranged","Goblin Ranged Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Vertical Slice","P0","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Goblin","Planned destination; existence not asserted"
"anim_enemy_humanoid_caster","Animações — Inimigo Caster","Enemy Caster Animation Set","Task015","IdleMedievalLegends_Task015_AssetCatalog/Examples/ASSET_MASTER_CATALOG.csv","Task015","1","Animation","Animation","Animation Set","Season 1","P1","N/A","Meshy Animate + manual cleanup","Planned","No","0","","","","","Assets/_Game/Art/Animations/Global","Planned destination; existence not asserted"
