asset_id,display_name_pt,display_name_en,source_task,asset_group,category,subcategory,phase,priority,batch_id,generation_method,source_art_required,target_polycount,texture_resolution,rig_required,animation_set,concept_prompt,geometry_prompt,texture_prompt,concept_attempts_planned,geometry_attempts_planned,remesh_attempts_planned,retexture_attempts_planned,rig_attempts_planned,approval_criteria,unity_path,status,approval_status
enemy_goblin_scavenger_001,Goblin Saqueador,Goblin Scavenger,Task016,Character,Common Enemy,Common,Vertical Slice,P0,B00_CALIBRATION,Image to 3D,Yes,4000,1024×1024,Yes,anim_enemy_goblin_melee,Prompts/Characters/ConceptArt/enemy_goblin_scavenger_001_concept_sheet.txt,Prompts/Characters/Meshy/enemy_goblin_scavenger_001_meshy_character.txt,Prompts/Characters/Texture/enemy_goblin_scavenger_001_texture.txt,2,3,1,1,1,Reads as lowest-tier scavenger; remains threatening rather than adorable; backpack and ears create silhouette; feet and hands are riggable; no prop intersects elbow range.,Assets/_Game/Art/Characters/enemy_goblin_scavenger_001,Not Started,Pending
env_goblin_mine_goblin_crate_001,Caixote Goblin,Goblin Crate,Task018,Environment,Environment,prop,Vertical Slice,P0,B00_CALIBRATION,Text to 3D,Optional,575,1024x1024,No,None,Prompts/EnvironmentStations/ConceptArt/env_goblin_mine_goblin_crate_001_concept_sheet.txt,Prompts/EnvironmentStations/Meshy/env_goblin_mine_goblin_crate_001_geometry.txt,Prompts/EnvironmentStations/Texture/env_goblin_mine_goblin_crate_001_texture.txt,1,3,1,1,0,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed,Assets/_Game/Art/Environments/goblin_mine/Models,Not Started,Pending
equipment_sword_1h_t01_base,Espada de Uma Mão T1,One-Handed Sword T1,Task017,Equipment,Weapon,sword_1h,Vertical Slice,P0,B00_CALIBRATION,Text to 3D,Optional,2000,1024,No,None,Prompts/Equipment/ConceptArt/equipment_sword_1h_t01_base_concept_sheet.txt,Prompts/Equipment/Meshy/BaseGeometry/equipment_sword_1h_t01_base_geometry.txt,Prompts/Equipment/TextureVariants/equipment_sword_1h_t01_base_rarity_variants.txt,1,3,1,1,0,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Assets/_Game/Art/Equipment/Weapon/sword_1h/T1/Models,Not Started,Pending
hero_paladin_001,Paladino,Paladin,Task016,Character,Playable Hero,Hero,Vertical Slice,P0,B00_CALIBRATION,Multi-view Image to 3D,Yes,6500,2048×2048,Yes,anim_hero_tank_humanoid,Prompts/Characters/ConceptArt/hero_paladin_001_concept_sheet.txt,Prompts/Characters/Meshy/hero_paladin_001_meshy_character.txt,Prompts/Characters/Texture/hero_paladin_001_texture.txt,3,4,1,1,1,Recognizable as tank at 128 px; head unobstructed; shield does not hide the entire torso; sword and shield detachable; limbs deform cleanly; no thin floating filigree; palette matches approved swatches.,Assets/_Game/Art/Characters/hero_paladin_001,Not Started,Pending
station_blacksmith_t01_001,Forja T1,Forge T1,Task018,Station,Crafting Station,Blacksmith,Vertical Slice,P0,B00_CALIBRATION,Text to 3D,Optional,5250,1024x1024,No,anim_station_blacksmith,Prompts/EnvironmentStations/ConceptArt/station_blacksmith_t01_001_concept_sheet.txt,Prompts/EnvironmentStations/Meshy/station_blacksmith_t01_001_geometry.txt,Prompts/EnvironmentStations/Texture/station_blacksmith_t01_001_texture.txt,2,3,1,1,0,Profession readable without UI; Tier milestone visible; work zone clear; sockets valid; no baked animation/VFX; LOD budget met; 3/4 camera test passed,Assets/_Game/Art/Crafting/Stations/Blacksmith/T1,Not Started,Pending
hero_archer_001,Arqueira,Archer,Task016,Character,Playable Hero,Hero,Vertical Slice,P0,B01_HEROES,Multi-view Image to 3D,Yes,6500,2048×2048,Yes,anim_hero_ranged_humanoid,Prompts/Characters/ConceptArt/hero_archer_001_concept_sheet.txt,Prompts/Characters/Meshy/hero_archer_001_meshy_character.txt,Prompts/Characters/Texture/hero_archer_001_texture.txt,3,4,1,1,1,Recognizable as ranged hero at 128 px; bow is thick enough for mobile silhouette; shoulders and elbows have clear deformation space; quiver does not intersect cape; outfit remains practical and non-sexualized.,Assets/_Game/Art/Characters/hero_archer_001,Not Started,Pending
hero_mage_001,Mago,Mage,Task016,Character,Playable Hero,Hero,Vertical Slice,P0,B01_HEROES,Multi-view Image to 3D,Yes,6500,2048×2048,Yes,anim_hero_caster_humanoid,Prompts/Characters/ConceptArt/hero_mage_001_concept_sheet.txt,Prompts/Characters/Meshy/hero_mage_001_meshy_character.txt,Prompts/Characters/Texture/hero_mage_001_texture.txt,3,4,1,1,1,Readable caster silhouette at 128 px; staff crystal is clear focal point; cloth has rig-safe splits; emission remains under 10% of visible surface; no floating pieces required to understand the model.,Assets/_Game/Art/Characters/hero_mage_001,Not Started,Pending
enemy_goblin_archer_001,Arqueiro Goblin,Goblin Archer,Task016,Character,Common Enemy,Common,Vertical Slice,P0,B02_GOBLIN_COMMONS,Image to 3D,Yes,4000,1024×1024,Yes,anim_enemy_goblin_ranged,Prompts/Characters/ConceptArt/enemy_goblin_archer_001_concept_sheet.txt,Prompts/Characters/Meshy/enemy_goblin_archer_001_meshy_character.txt,Prompts/Characters/Texture/enemy_goblin_archer_001_texture.txt,2,3,1,1,1,Distinct from Ranger through lower complexity and shortbow scale; clear draw-arm space; quiver avoids shoulder clipping; remains readable at battle camera distance.,Assets/_Game/Art/Characters/enemy_goblin_archer_001,Not Started,Pending
enemy_goblin_shaman_001,Xamã Goblin,Goblin Shaman,Task016,Character,Special Enemy,Special,Vertical Slice,P0,B02_GOBLIN_COMMONS,Image to 3D,Yes,4500,1024×1024,Yes,anim_enemy_goblin_caster,Prompts/Characters/ConceptArt/enemy_goblin_shaman_001_concept_sheet.txt,Prompts/Characters/Meshy/enemy_goblin_shaman_001_meshy_character.txt,Prompts/Characters/Texture/enemy_goblin_shaman_001_texture.txt,2,3,1,1,1,Caster role readable without VFX; staff remains primary focal point; accessories do not create fragile geometry; silhouette differs from High Shaman through lower height and simpler maskless head.,Assets/_Game/Art/Characters/enemy_goblin_shaman_001,Not Started,Pending
enemy_goblin_warrior_001,Guerreiro Goblin,Goblin Warrior,Task016,Character,Common Enemy,Common,Vertical Slice,P0,B02_GOBLIN_COMMONS,Image to 3D,Yes,4000,1024×1024,Yes,anim_enemy_goblin_melee,Prompts/Characters/ConceptArt/enemy_goblin_warrior_001_concept_sheet.txt,Prompts/Characters/Meshy/enemy_goblin_warrior_001_meshy_character.txt,Prompts/Characters/Texture/enemy_goblin_warrior_001_texture.txt,2,3,1,1,1,Clearly stronger than Scavenger but below elites; shield side remains readable; armor is improvised; face and ears visible; weapon sockets align with animation set.,Assets/_Game/Art/Characters/enemy_goblin_warrior_001,Not Started,Pending
