asset_id,asset_type,concept_prompt,meshy_prompt,texture_prompt,source_art_required,meshy_method,priority,production_phase,approval_gate
env_goblin_mine_camp_gate_001,Environment,Prompts/ConceptArt/env_goblin_mine_camp_gate_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_camp_gate_001_geometry.txt,Prompts/Texture/env_goblin_mine_camp_gate_001_texture.txt,Yes,Image to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_goblin_barrel_001,Environment,Prompts/ConceptArt/env_goblin_mine_goblin_barrel_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_goblin_barrel_001_geometry.txt,Prompts/Texture/env_goblin_mine_goblin_barrel_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_goblin_crate_001,Environment,Prompts/ConceptArt/env_goblin_mine_goblin_crate_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_goblin_crate_001_geometry.txt,Prompts/Texture/env_goblin_mine_goblin_crate_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_goblin_king_throne_001,Environment,Prompts/ConceptArt/env_goblin_mine_goblin_king_throne_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_goblin_king_throne_001_geometry.txt,Prompts/Texture/env_goblin_mine_goblin_king_throne_001_texture.txt,Yes,Image to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_goblin_tent_001,Environment,Prompts/ConceptArt/env_goblin_mine_goblin_tent_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_goblin_tent_001_geometry.txt,Prompts/Texture/env_goblin_mine_goblin_tent_001_texture.txt,Yes,Image to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_ground_dirt_tile_001,Environment,Prompts/ConceptArt/env_goblin_mine_ground_dirt_tile_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_ground_dirt_tile_001_geometry.txt,Prompts/Texture/env_goblin_mine_ground_dirt_tile_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_ground_stone_tile_001,Environment,Prompts/ConceptArt/env_goblin_mine_ground_stone_tile_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_ground_stone_tile_001_geometry.txt,Prompts/Texture/env_goblin_mine_ground_stone_tile_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_mine_arch_001,Environment,Prompts/ConceptArt/env_goblin_mine_mine_arch_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_arch_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_arch_001_texture.txt,Yes,Image to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_mine_cart_001,Environment,Prompts/ConceptArt/env_goblin_mine_mine_cart_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_cart_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_cart_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_mine_track_curve_001,Environment,Prompts/ConceptArt/env_goblin_mine_mine_track_curve_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_track_curve_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_track_curve_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_mine_track_straight_001,Environment,Prompts/ConceptArt/env_goblin_mine_mine_track_straight_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_track_straight_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_track_straight_001_texture.txt,Optional,Text to 3D,P0,Vertical Slice,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
