asset_id,display_name_pt,display_name_en,asset_class,category,subcategory,faction_or_system,gameplay_role,production_phase,priority,tier,rarity_strategy,profession,biome,meshy_eligible,meshy_method,source_art_required,modularity,rig_type,animation_set,lod_required,lod0_tri_min,lod0_tri_max,lod1_ratio,lod2_ratio,texture_resolution,texture_maps,material_slots_max,scale_m,pivot,collider,export_format,unity_import_path,prefab_path,reuse_group,dependencies,expected_variants,status,approval_criteria,notes,source_reference
anim_enemy_goblin_caster,Animações — Goblin Caster,Goblin Caster Animation Set,Animation,Animation,Animation Set,Goblin,Reusable animation library,Vertical Slice,P0,N/A,None,None,Global,Partial,Meshy Animate + manual cleanup,No,Reusable clips on shared skeleton,Humanoid,idle; run; cast; hit; death; victory,No,0,0,0,0,N/A,N/A,0,0,N/A,None,FBX animation clips,Assets/_Game/Art/Animations/Goblin,N/A,anim_enemy_goblin_caster,Approved rig; root motion policy; event markers,6,Planned,Loop quality; no foot sliding; stable root; correct weapon sockets; combat event timing documented,,ART_REF_001 + Visual Bible v1.0
anim_enemy_goblin_melee,Animações — Goblin Melee,Goblin Melee Animation Set,Animation,Animation,Animation Set,Goblin,Reusable animation library,Vertical Slice,P0,N/A,None,None,Global,Partial,Meshy Animate + manual cleanup,No,Reusable clips on shared skeleton,Humanoid,idle; run; attack; hit; death; victory,No,0,0,0,0,N/A,N/A,0,0,N/A,None,FBX animation clips,Assets/_Game/Art/Animations/Goblin,N/A,anim_enemy_goblin_melee,Approved rig; root motion policy; event markers,6,Planned,Loop quality; no foot sliding; stable root; correct weapon sockets; combat event timing documented,,ART_REF_001 + Visual Bible v1.0
anim_enemy_goblin_ranged,Animações — Goblin Ranged,Goblin Ranged Animation Set,Animation,Animation,Animation Set,Goblin,Reusable animation library,Vertical Slice,P0,N/A,None,None,Global,Partial,Meshy Animate + manual cleanup,No,Reusable clips on shared skeleton,Humanoid,idle; run; shoot; hit; death; victory,No,0,0,0,0,N/A,N/A,0,0,N/A,None,FBX animation clips,Assets/_Game/Art/Animations/Goblin,N/A,anim_enemy_goblin_ranged,Approved rig; root motion policy; event markers,6,Planned,Loop quality; no foot sliding; stable root; correct weapon sockets; combat event timing documented,,ART_REF_001 + Visual Bible v1.0
anim_hero_caster_humanoid,Animações — Herói Conjurador,Hero Caster Animation Set,Animation,Animation,Animation Set,Heroes,Reusable animation library,Vertical Slice,P0,N/A,None,None,Global,Partial,Meshy Animate + manual cleanup,No,Reusable clips on shared skeleton,Humanoid,idle; walk; run; cast; channel; hit; stun; death; victory; skill1; skill2; ultimate,No,0,0,0,0,N/A,N/A,0,0,N/A,None,FBX animation clips,Assets/_Game/Art/Animations/Heroes,N/A,anim_hero_caster_humanoid,Approved rig; root motion policy; event markers,12,Planned,Loop quality; no foot sliding; stable root; correct weapon sockets; combat event timing documented,,ART_REF_001 + Visual Bible v1.0
anim_hero_ranged_humanoid,Animações — Herói Ranged,Hero Ranged Animation Set,Animation,Animation,Animation Set,Heroes,Reusable animation library,Vertical Slice,P0,N/A,None,None,Global,Partial,Meshy Animate + manual cleanup,No,Reusable clips on shared skeleton,Humanoid,idle; walk; run; shoot; hit; stun; death; victory; skill1; skill2; ultimate,No,0,0,0,0,N/A,N/A,0,0,N/A,None,FBX animation clips,Assets/_Game/Art/Animations/Heroes,N/A,anim_hero_ranged_humanoid,Approved rig; root motion policy; event markers,11,Planned,Loop quality; no foot sliding; stable root; correct weapon sockets; combat event timing documented,,ART_REF_001 + Visual Bible v1.0
anim_hero_tank_humanoid,Animações — Herói Tanque,Hero Tank Animation Set,Animation,Animation,Animation Set,Heroes,Reusable animation library,Vertical Slice,P0,N/A,None,None,Global,Partial,Meshy Animate + manual cleanup,No,Reusable clips on shared skeleton,Humanoid,idle; walk; run; attack; block; hit; stun; death; victory; skill1; skill2; ultimate,No,0,0,0,0,N/A,N/A,0,0,N/A,None,FBX animation clips,Assets/_Game/Art/Animations/Heroes,N/A,anim_hero_tank_humanoid,Approved rig; root motion policy; event markers,12,Planned,Loop quality; no foot sliding; stable root; correct weapon sockets; combat event timing documented,,ART_REF_001 + Visual Bible v1.0
anim_loot_chest,Animações — Baú,Loot Chest Animation Set,Animation,Animation,Animation Set,Rewards,Reusable animation library,Vertical Slice,P0,N/A,None,None,Global,Partial,Meshy Animate + manual cleanup,No,Reusable clips on shared skeleton,Generic,idle; open; rare-open; close,No,0,0,0,0,N/A,N/A,0,0,N/A,None,FBX animation clips,Assets/_Game/Art/Animations/Rewards,N/A,anim_loot_chest,Approved rig; root motion policy; event markers,4,Planned,Loop quality; no foot sliding; stable root; correct weapon sockets; combat event timing documented,,ART_REF_001 + Visual Bible v1.0
enemy_goblin_archer_001,Arqueiro Goblin,Goblin Archer,3D Model,Character,Enemy,Goblin,ranged damage,Vertical Slice,P0,N/A,None,None,Global,Yes,Image to 3D,Yes,Full body + separate weapon where applicable,Humanoid,anim_enemy_goblin_ranged,Yes,3000,5000,0.5,0.25,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,3,1.25,Between feet at ground,Capsule/compound hit boxes,FBX,Assets/_Game/Art/Characters/Enemies/Goblin/goblin_archer_001/Models,Assets/_Game/Prefabs/Characters/Enemies/Goblin/PF_goblin_archer_001.prefab,goblin_common_body,Approved character sheet; faction material library; weapon prop if armed,1,Planned,Readable combat role; faction silhouette; valid rig pose; no fused weapon; no accidental detached pieces,,ART_REF_001 + Visual Bible v1.0
enemy_goblin_scavenger_001,Goblin Saqueador,Goblin Scavenger,3D Model,Character,Enemy,Goblin,basic melee,Vertical Slice,P0,N/A,None,None,Global,Yes,Image to 3D,Yes,Full body + separate weapon where applicable,Humanoid,anim_enemy_goblin_melee,Yes,3000,5000,0.5,0.25,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,3,1.25,Between feet at ground,Capsule/compound hit boxes,FBX,Assets/_Game/Art/Characters/Enemies/Goblin/goblin_scavenger_001/Models,Assets/_Game/Prefabs/Characters/Enemies/Goblin/PF_goblin_scavenger_001.prefab,goblin_common_body,Approved character sheet; faction material library; weapon prop if armed,1,Planned,Readable combat role; faction silhouette; valid rig pose; no fused weapon; no accidental detached pieces,,ART_REF_001 + Visual Bible v1.0
enemy_goblin_warrior_001,Guerreiro Goblin,Goblin Warrior,3D Model,Character,Enemy,Goblin,frontline melee,Vertical Slice,P0,N/A,None,None,Global,Yes,Image to 3D,Yes,Full body + separate weapon where applicable,Humanoid,anim_enemy_goblin_melee,Yes,3000,5000,0.5,0.25,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,3,1.25,Between feet at ground,Capsule/compound hit boxes,FBX,Assets/_Game/Art/Characters/Enemies/Goblin/goblin_warrior_001/Models,Assets/_Game/Prefabs/Characters/Enemies/Goblin/PF_goblin_warrior_001.prefab,goblin_common_body,Approved character sheet; faction material library; weapon prop if armed,1,Planned,Readable combat role; faction silhouette; valid rig pose; no fused weapon; no accidental detached pieces,,ART_REF_001 + Visual Bible v1.0
