family_key,display_name_pt,display_name_en,slot,profession,category,generation_method,scale_m,lod0_tri_min,lod0_tri_max,texture_resolution,material_slots_max,pivot,collider,form_language,mvp_wear_policy
sword_1h,Espada de Uma Mão,One-Handed Sword,Main Hand,Blacksmith,Weapon,Text to 3D,1.05,1200,2800,1024,2,center of grip,Box/Convex Mesh,"straight readable blade, compact guard, thick mobile-safe silhouette",not wearable; separate hand prop
shield,Escudo,Shield,Off Hand,Blacksmith,Weapon,Text to 3D,0.85,1500,3500,1024,2,center of rear grip,Box/Convex Mesh,"broad protective face, strong outer rim, readable central emblem zone",not wearable; separate left-hand prop
longbow,Arco Longo,Longbow,Main Hand,Blacksmith + Tailor,Weapon,Text to 3D,1.55,1000,2400,1024,2,center of bow grip,Capsule/Box,"large continuous bow curve, thick limbs, clean grip and reinforced tips",not wearable; separate bow prop; string handled in Unity
staff,Cajado,Staff,Main Hand,Enchanter + Blacksmith,Weapon,Text to 3D,1.75,1400,3400,1024,3,lower hand grip,Capsule/Box,"tall vertical silhouette, strong headpiece, protected magical focal core",not wearable; separate staff prop
ring,Anel,Ring,Ring,Enchanter,Accessory,Text to 3D,0.035,300,800,512,2,geometric center,None,"thick readable band, one focal setting, no hair-thin filigree",inventory/display prop; character visibility optional
amulet,Amuleto,Amulet,Amulet,Enchanter + Tailor,Accessory,Text to 3D,0.14,500,1300,512,2,top attachment loop,None,"central pendant with chunky frame, short chain segment or cord, clear magical setting",inventory/display prop; character visibility optional
heavy_helmet,Elmo Pesado,Heavy Helmet,Head,Blacksmith,Heavy Armor,Image to 3D,0.32,1400,3000,1024,2,base center at neck opening,None,"broad protective crown, face opening, moderate crest, no extreme spikes",inventory prop in MVP; full character skin handles wearable geometry
heavy_chest,Peitoral Pesado,Heavy Chest Armor,Chest,Blacksmith,Heavy Armor,Image to 3D,0.72,2500,5000,1024,3,center at waist line,None,"layered breastplate, broad shoulders represented without mannequin, strong waist closure",inventory prop in MVP; full character skin handles wearable geometry
heavy_gloves,Manoplas Pesadas,Heavy Gauntlets,Hands,Blacksmith,Heavy Armor,Image to 3D,0.28,900,2200,1024,2,wrist center,None,"paired armored gauntlets displayed symmetrically, chunky fingers, layered wrist plates",inventory prop pair in MVP; full character skin handles wearable geometry
heavy_boots,Botas Pesadas,Heavy Boots,Feet,Blacksmith,Heavy Armor,Image to 3D,0.38,1100,2400,1024,2,ground center between boots,None,"paired armored boots, broad stable soles, layered shin plates",inventory prop pair in MVP; full character skin handles wearable geometry
light_hood,Capuz Leve,Light Hood,Head,Tailor,Light Armor,Image to 3D,0.35,900,2000,1024,2,base center at neck opening,None,"practical hood with leather brow reinforcement, face opening and short mantle",inventory prop in MVP; full character skin handles wearable geometry
light_chest,Armadura Leve,Light Chest Armor,Chest,Tailor,Light Armor,Image to 3D,0.72,1800,3800,1024,3,center at waist line,None,"layered leather and textile jerkin, diagonal closures, compact shoulder protection",inventory prop in MVP; full character skin handles wearable geometry
light_gloves,Luvas Leves,Light Gloves,Hands,Tailor,Light Armor,Image to 3D,0.27,700,1700,1024,2,wrist center,None,"paired fitted gloves with bracers, reinforced palm, clear finger separation",inventory prop pair in MVP; full character skin handles wearable geometry
light_boots,Botas Leves,Light Boots,Feet,Tailor,Light Armor,Image to 3D,0.38,900,2000,1024,2,ground center between boots,None,"paired agile boots, flexible ankle, reinforced toe and quiet sole",inventory prop pair in MVP; full character skin handles wearable geometry
cloth_hood,Capuz Arcano,Arcane Hood,Head,Tailor + Enchanter,Cloth Armor,Image to 3D,0.36,900,2100,1024,2,base center at neck opening,None,"soft structured hood with broad face opening, layered arcane trim, no loose thin tassels",inventory prop in MVP; full character skin handles wearable geometry
cloth_robe,Manto Arcano,Arcane Robe,Chest,Tailor + Enchanter,Cloth Armor,Image to 3D,0.95,2200,4500,1024,3,center at waist line,None,"layered robe torso and skirt display, broad panels, controlled arcane trim, no body mannequin",inventory prop in MVP; full character skin handles wearable geometry
cloth_gloves,Luvas Arcanas,Arcane Gloves,Hands,Tailor + Enchanter,Cloth Armor,Image to 3D,0.27,700,1700,1024,2,wrist center,None,"paired cloth gloves and bracers, reinforced spell focus backs, clean fingers",inventory prop pair in MVP; full character skin handles wearable geometry
cloth_boots,Botas Arcanas,Arcane Boots,Feet,Tailor + Enchanter,Cloth Armor,Image to 3D,0.38,900,2000,1024,2,ground center between boots,None,paired soft boots with structured soles and arcane ankle trim,inventory prop pair in MVP; full character skin handles wearable geometry
