asset_id,display_name_pt,display_name_en,family_key,category,slot,profession,tier,tier_theme,production_phase,priority,generation_method,scale_m,lod0_tri_min,lod0_tri_max,lod1_ratio,lod2_ratio,texture_resolution,material_slots_max,pivot,collider,base_material_primary,base_material_secondary,shape_language,family_form_language,rarity_variants,geometry_reuse_rule,mvp_wear_policy,concept_prompt_path,meshy_prompt_path,texture_variants_prompt_path,unity_model_path,unity_material_path,unity_prefab_path,approval_criteria,status
equipment_sword_1h_t01_base,Espada de Uma Mão T1,One-Handed Sword T1,sword_1h,Weapon,Main Hand,Blacksmith,1,Frontier,Vertical Slice,P0,Text to 3D,1.05,1200,2800,0.50,0.25,1024,2,center of grip,Box/Convex Mesh,raw iron and simple bronze,rawhide and rope,"functional, compact, simple construction, visible fasteners","straight readable blade, compact guard, thick mobile-safe silhouette",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate hand prop,Prompts/ConceptArt/equipment_sword_1h_t01_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t01_base_geometry.txt,Prompts/TextureVariants/equipment_sword_1h_t01_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/sword_1h/T1/Models,Assets/_Game/Art/Equipment/Weapon/sword_1h/T1/Materials,Assets/_Game/Prefabs/Equipment/sword_1h/T1,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_sword_1h_t02_base,Espada de Uma Mão T2,One-Handed Sword T2,sword_1h,Weapon,Main Hand,Blacksmith,2,Crafted,MVP,P1,Text to 3D,1.05,1200,2800,0.50,0.25,1024,2,center of grip,Box/Convex Mesh,tempered iron and low-carbon steel,treated leather,"cleaner craftsmanship, reinforced edges, balanced proportions","straight readable blade, compact guard, thick mobile-safe silhouette",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate hand prop,Prompts/ConceptArt/equipment_sword_1h_t02_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t02_base_geometry.txt,Prompts/TextureVariants/equipment_sword_1h_t02_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/sword_1h/T2/Models,Assets/_Game/Art/Equipment/Weapon/sword_1h/T2/Materials,Assets/_Game/Prefabs/Equipment/sword_1h/T2,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_sword_1h_t03_base,Espada de Uma Mão T3,One-Handed Sword T3,sword_1h,Weapon,Main Hand,Blacksmith,3,Runic,MVP,P1,Text to 3D,1.05,1200,2800,0.50,0.25,1024,2,center of grip,Box/Convex Mesh,polished steel and silversteel,reinforced leather,"first intentional rune channels, stronger silhouettes, one focal inset","straight readable blade, compact guard, thick mobile-safe silhouette",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate hand prop,Prompts/ConceptArt/equipment_sword_1h_t03_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t03_base_geometry.txt,Prompts/TextureVariants/equipment_sword_1h_t03_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/sword_1h/T3/Models,Assets/_Game/Art/Equipment/Weapon/sword_1h/T3/Materials,Assets/_Game/Prefabs/Equipment/sword_1h/T3,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_sword_1h_t04_base,Espada de Uma Mão T4,One-Handed Sword T4,sword_1h,Weapon,Main Hand,Blacksmith,4,Mithril,Season 1,P2,Text to 3D,1.05,1200,2800,0.50,0.25,1024,2,center of grip,Box/Convex Mesh,pale mithril and elven silver,silverleaf leather,"lighter refined construction, elegant curves, disciplined ornament","straight readable blade, compact guard, thick mobile-safe silhouette",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate hand prop,Prompts/ConceptArt/equipment_sword_1h_t04_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t04_base_geometry.txt,Prompts/TextureVariants/equipment_sword_1h_t04_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/sword_1h/T4/Models,Assets/_Game/Art/Equipment/Weapon/sword_1h/T4/Materials,Assets/_Game/Prefabs/Equipment/sword_1h/T4,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_sword_1h_t05_base,Espada de Uma Mão T5,One-Handed Sword T5,sword_1h,Weapon,Main Hand,Blacksmith,5,Ancestral,Season 1,P2,Text to 3D,1.05,1200,2800,0.50,0.25,1024,2,center of grip,Box/Convex Mesh,adamantite and ancestral bronze,ancestral hide,"heavier prestige construction, carved ancestry motifs, broad protected cores","straight readable blade, compact guard, thick mobile-safe silhouette",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate hand prop,Prompts/ConceptArt/equipment_sword_1h_t05_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t05_base_geometry.txt,Prompts/TextureVariants/equipment_sword_1h_t05_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/sword_1h/T5/Models,Assets/_Game/Art/Equipment/Weapon/sword_1h/T5/Materials,Assets/_Game/Prefabs/Equipment/sword_1h/T5,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_sword_1h_t06_base,Espada de Uma Mão T6,One-Handed Sword T6,sword_1h,Weapon,Main Hand,Blacksmith,6,Draconic,Season 1,P2,Text to 3D,1.05,1200,2800,0.50,0.25,1024,2,center of grip,Box/Convex Mesh,dragonsteel and metallic obsidian,dragon scale,"aggressive organic plates, scale rhythms, controlled heat channels","straight readable blade, compact guard, thick mobile-safe silhouette",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate hand prop,Prompts/ConceptArt/equipment_sword_1h_t06_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t06_base_geometry.txt,Prompts/TextureVariants/equipment_sword_1h_t06_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/sword_1h/T6/Models,Assets/_Game/Art/Equipment/Weapon/sword_1h/T6/Materials,Assets/_Game/Prefabs/Equipment/sword_1h/T6,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_sword_1h_t07_base,Espada de Uma Mão T7,One-Handed Sword T7,sword_1h,Weapon,Main Hand,Blacksmith,7,Astral,Season 1,P2,Text to 3D,1.05,1200,2800,0.50,0.25,1024,2,center of grip,Box/Convex Mesh,orichalcum and astral alloy,void leather,"unconventional celestial geometry, small suspended protected pieces, visible energy core","straight readable blade, compact guard, thick mobile-safe silhouette",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate hand prop,Prompts/ConceptArt/equipment_sword_1h_t07_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t07_base_geometry.txt,Prompts/TextureVariants/equipment_sword_1h_t07_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/sword_1h/T7/Models,Assets/_Game/Art/Equipment/Weapon/sword_1h/T7/Materials,Assets/_Game/Prefabs/Equipment/sword_1h/T7,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_sword_1h_t08_base,Espada de Uma Mão T8,One-Handed Sword T8,sword_1h,Weapon,Main Hand,Blacksmith,8,Celestial,Post-MVP,P3,Text to 3D,1.05,1200,2800,0.50,0.25,1024,2,center of grip,Box/Convex Mesh,aetherium and celestial alloy,seraph hide,"symmetric sacred construction, luminous inlays, elevated but robust silhouettes","straight readable blade, compact guard, thick mobile-safe silhouette",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate hand prop,Prompts/ConceptArt/equipment_sword_1h_t08_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t08_base_geometry.txt,Prompts/TextureVariants/equipment_sword_1h_t08_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/sword_1h/T8/Models,Assets/_Game/Art/Equipment/Weapon/sword_1h/T8/Materials,Assets/_Game/Prefabs/Equipment/sword_1h/T8,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_sword_1h_t09_base,Espada de Uma Mão T9,One-Handed Sword T9,sword_1h,Weapon,Main Hand,Blacksmith,9,Creation,Post-MVP,P3,Text to 3D,1.05,1200,2800,0.50,0.25,1024,2,center of grip,Box/Convex Mesh,primordial metal and divine alloy,fate leather,"signature construction, impossible but readable material, one defining creation motif","straight readable blade, compact guard, thick mobile-safe silhouette",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate hand prop,Prompts/ConceptArt/equipment_sword_1h_t09_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t09_base_geometry.txt,Prompts/TextureVariants/equipment_sword_1h_t09_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/sword_1h/T9/Models,Assets/_Game/Art/Equipment/Weapon/sword_1h/T9/Materials,Assets/_Game/Prefabs/Equipment/sword_1h/T9,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
equipment_shield_t01_base,Escudo T1,Shield T1,shield,Weapon,Off Hand,Blacksmith,1,Frontier,Vertical Slice,P0,Text to 3D,0.85,1500,3500,0.50,0.25,1024,2,center of rear grip,Box/Convex Mesh,raw iron and simple bronze,rawhide and rope,"functional, compact, simple construction, visible fasteners","broad protective face, strong outer rim, readable central emblem zone",6,one base mesh per family+tier; rarity uses material/attachment variants,not wearable; separate left-hand prop,Prompts/ConceptArt/equipment_shield_t01_base_concept_sheet.txt,Prompts/Meshy/BaseGeometry/equipment_shield_t01_base_geometry.txt,Prompts/TextureVariants/equipment_shield_t01_base_rarity_variants.txt,Assets/_Game/Art/Equipment/Weapon/shield/T1/Models,Assets/_Game/Art/Equipment/Weapon/shield/T1/Materials,Assets/_Game/Prefabs/Equipment/shield/T1,readable at inventory scale; tier identity clear without UI; all six rarity variants preserve family; pivot and scale correct; no fragile geometry; URP PBR maps valid,Brief Ready
