character_id,display_name_pt,display_name_en,faction,category,combat_role,rank,scale_m,heads_tall,body_proportion,silhouette,shape_language,palette,materials,outfit,separate_props,focal_point,emission_rule,lore_summary,rig_profile,animation_set,lod0_triangles,texture_resolution,generation_method,separate_parts,socket_standard,approval_criteria
hero_paladin_001,Paladino,Paladin,Heroes,Playable Hero,Tank / protector,Hero,1.9,6.4,robust heroic human male; broad shoulders; thick torso; stable stance,wide triangular silhouette anchored by shield; head always visible between moderate pauldrons,"squares, rectangles and broad protective arcs",medieval blue #315A7D; ivory #D7C49A; cold steel #58636A; selective gold #D8A84E,"brushed cold steel, painted blue plate, ivory cloth, dark brown leather, restrained polished gold","full stylized plate armor with layered chest plate, medium pauldrons, reinforced boots, short split mantle, visible face, no full helmet in base skin",one-handed sword; large rounded kite shield; both separate; optional short back mantle,sacred sun-and-bastion emblem on shield and chest clasp,"small warm-gold rune on shield, maximum two emissive areas",A frontier guardian who turns faith into discipline. His equipment was forged for rescue and endurance rather than ceremonial display.,rig_hero_standard_humanoid,anim_hero_tank_humanoid,"5,000–8,000",2048×2048,Multi-view Image to 3D,body; sword; shield; optional mantle physics proxy,hand_r_weapon; hand_l_shield; back_weapon; chest_fx; head_fx; feet_fx,Recognizable as tank at 128 px; head unobstructed; shield does not hide the entire torso; sword and shield detachable; limbs deform cleanly; no thin floating filigree; palette matches approved swatches.
hero_archer_001,Arqueira,Archer,Heroes,Playable Hero,Physical ranged damage,Hero,1.76,6.9,athletic heroic human female; long limbs; practical build; balanced stance,narrow diagonal silhouette with asymmetric short cape and strong bow curve,"long curves, controlled diagonals and light triangular layers",forest green #536A3B; leather brown #7A4C2D; linen beige #C8BFA9; dull steel #58636A,"layered matte leather, woven linen, dark wood, dull steel buckles, restrained feathers","practical layered leather armor, fitted but non-sexualized, bracers, reinforced boots, short asymmetric hooded cape, clear arm movement",stylized recurve bow; separate quiver; arrows as grouped prop; small utility knife optional,bow profile and hood/hair shape,none in base model; ability VFX remains separate,A border scout who reads terrain before enemies realize they have been seen. Every strap and pouch has a practical use.,rig_hero_standard_humanoid,anim_hero_ranged_humanoid,"5,000–8,000",2048×2048,Multi-view Image to 3D,body; bow; quiver; grouped arrow set; optional hood-down hair variant,hand_l_bow; hand_r_arrow; back_quiver; hip_tool; chest_fx; feet_fx,Recognizable as ranged hero at 128 px; bow is thick enough for mobile silhouette; shoulders and elbows have clear deformation space; quiver does not intersect cape; outfit remains practical and non-sexualized.
hero_mage_001,Mago,Mage,Heroes,Playable Hero,Arcane area damage,Hero,1.82,6.6,mature heroic human male; lean frame; calm upright posture; expressive hands,"vertical silhouette, broad layered robe base, staff as dominant parallel line","circles, diamonds, vertical panels and broad cloth shapes",deep blue #233A5E; graphite #2F343B; bronze #A56A3A; arcane cyan #25A7FF,"heavy matte fabric, layered woven cloth, aged bronze, dark leather belts, translucent cyan crystal","layered knee-length arcane coat over split robe panels, reinforced boots, wide belt with focus, high collar below jaw, cloth separated from legs",tall arcane staff; belt focus crystal; optional closed spellbook prop,faceted cyan staff crystal framed by a bronze ring,staff crystal plus two or three small rune marks only,"A disciplined scholar of practical battlefield magic. His robes are designed for travel and controlled casting, not court ceremony.",rig_hero_standard_humanoid,anim_hero_caster_humanoid,"5,000–8,000",2048×2048,Multi-view Image to 3D,body; staff; belt focus; optional spellbook,hand_r_staff; hand_l_focus; back_staff; chest_fx; hand_fx_l; hand_fx_r,Readable caster silhouette at 128 px; staff crystal is clear focal point; cloth has rig-safe splits; emission remains under 10% of visible surface; no floating pieces required to understand the model.
enemy_goblin_scavenger_001,Goblin Saqueador,Goblin Scavenger,Goblin Clans,Common Enemy,Basic melee / resource thief,Common,1.25,4.7,small wiry goblin; long forearms; large ears; slightly hunched but riggable biped,small irregular silhouette with oversized patched backpack and short knife,"irregular triangles, sacks and crooked rectangles",olive skin #6E7C3C; dirty tan #A88C5A; leather brown #6A4128; rust iron #7B4A32,"patched cloth, coarse sacks, splintered wood, worn leather, rusty scrap iron","simple patched tunic, rope belt, one shoulder pad made from scrap, open sandals or wrapped feet",scrap knife; patched backpack; loose stolen trinket bundle,backpack silhouette and alert oversized ears,none,"The lowest-ranked clan member, sent ahead to steal tools, food and anything that can be sold or repurposed.",rig_goblin_small_humanoid,anim_enemy_goblin_melee,"3,000–5,000",1024×1024,Image to 3D,body; scrap knife; backpack optional as separate skinned/accessory part,hand_r_weapon; back_pack; hip_loot; head_fx; feet_fx,Reads as lowest-tier scavenger; remains threatening rather than adorable; backpack and ears create silhouette; feet and hands are riggable; no prop intersects elbow range.
enemy_goblin_warrior_001,Guerreiro Goblin,Goblin Warrior,Goblin Clans,Common Enemy,Frontline melee,Common,1.3,4.8,compact muscular goblin; thick forearms; stable forward stance,wide shield-side silhouette with short cleaver profile and patched armor blocks,"broad triangles, crooked squares and shield arcs",olive skin #68773A; dark brown #4F3425; dirty red #8A3F2C; rust iron #7B4A32,"wood plank shield, scrap iron plates, cracked leather, coarse red cloth","improvised chest plate, one heavy shoulder guard, padded loin tunic, wrapped shins, crude helmet cap optional but face visible",goblin cleaver; wooden round shield reinforced with scrap metal,asymmetric shield and cleaver pairing,none,A clan fighter equipped with whatever the mines and raids provide. He values intimidation and durability over balance.,rig_goblin_small_humanoid,anim_enemy_goblin_melee,"3,000–5,000",1024×1024,Image to 3D,body; cleaver; wooden shield,hand_r_weapon; hand_l_shield; back_weapon; head_fx; feet_fx,Clearly stronger than Scavenger but below elites; shield side remains readable; armor is improvised; face and ears visible; weapon sockets align with animation set.
enemy_goblin_archer_001,Arqueiro Goblin,Goblin Archer,Goblin Clans,Common Enemy,Basic ranged damage,Common,1.25,4.8,lean small goblin; narrow shoulders; long arms; forward-leaning but rig-safe posture,"large shortbow curve, oversized quiver and inclined hood/ear profile","curves, thin diagonals and compact triangular cloth",yellow-olive skin #768342; faded green #5E6A37; leather #70472C; pale wood #9A7749,"rough leather, faded cloth, bent wood, rope, dull iron arrowheads","light jerkin, one short hood panel between ears, forearm wrap, utility pouch, no heavy armor",shortbow; oversized quiver; grouped arrows,shortbow and tall quiver silhouette,none,"Poorly trained but numerous, these archers rely on volleys, elevated ledges and cheap arrows.",rig_goblin_small_humanoid,anim_enemy_goblin_ranged,"3,000–5,000",1024×1024,Image to 3D,body; shortbow; quiver; grouped arrows,hand_l_bow; hand_r_arrow; back_quiver; hip_pouch; head_fx,Distinct from Ranger through lower complexity and shortbow scale; clear draw-arm space; quiver avoids shoulder clipping; remains readable at battle camera distance.
enemy_goblin_shaman_001,Xamã Goblin,Goblin Shaman,Goblin Clans,Special Enemy,Caster / healer / buffer,Special,1.25,4.7,thin older goblin; slightly bowed neck; long expressive hands; riggable legs,"vertical totem staff, irregular feather crown and hanging ritual shapes","irregular circles, crooked verticals and natural totem forms",moss green skin #65783A; ochre #B28A42; bone #C9B98F; ritual lime #A2D729,"bone, carved wood, feathers, rough hide, gourds, woven cords","layered hide shawl, ritual belt, small bone charms, feather cluster that does not obscure ears or rig",shaman totem staff; small charm gourd; optional belt pouch,staff totem face and controlled green-yellow magical core,one small lime core in staff plus subtle eye/rune accents,"A clan healer and omen-reader who channels fungi, cave spirits and ancestral superstition into real battlefield magic.",rig_goblin_small_humanoid,anim_enemy_goblin_caster,"3,500–5,500",1024×1024,Image to 3D,body; totem staff; belt gourd; optional feather accessory,hand_r_staff; hand_l_focus; back_totem; head_fx; hand_fx_l; hand_fx_r,Caster role readable without VFX; staff remains primary focal point; accessories do not create fragile geometry; silhouette differs from High Shaman through lower height and simpler maskless head.
boss_goblin_chieftain_001,Chefe Goblin,Goblin Chieftain,Goblin Clans,Mid-Boss,Commander / bruiser,Mid-Boss,1.58,5.2,large broad goblin; thick neck and torso; powerful arms; boss-scale hands,broad asymmetrical trophy silhouette with oversized axe and tribal crown band,"heavy triangles, broken crowns, trophy spikes and broad leather masses",dark olive skin #55652F; burnt red #923D2C; blackened iron #3E4142; bone #C9B98F,"blackened scrap iron, thick leather, fur patches, bone trophies, chipped painted wood","reinforced scrap cuirass, fur shoulder, trophy belt, short war skirt, irregular tribal crown band, scars stylized rather than graphic",wide chieftain axe; trophy chain or banner fragment,wide axe head and crown/trophy shoulder line,none or a tiny ember-like war charm only,"The mine-camp commander who keeps rival goblins obedient through strength, trophies and the promise of the King’s favor.",rig_goblin_boss_humanoid,anim_boss_goblin_chieftain,"6,000–9,000",2048×2048,Multi-view Image to 3D,body; wide axe; trophy chain/banner; optional crown band,hand_r_weapon; back_banner; waist_trophy; chest_fx; head_fx; feet_fx,Immediately reads as mid-boss and commander; at least 20% larger than common goblins; limbs remain animation-friendly; trophies are chunky and limited; does not visually surpass Goblin King.
enemy_hobgoblin_knight_001,Cavaleiro Hobgoblin,Hobgoblin Knight,Goblin Clans,Elite Enemy,Tank / control,Elite,1.85,5.8,tall disciplined hobgoblin; broad shoulders; long powerful legs; less hunched than goblins,"tower shield rectangle, disciplined helmet line and upright military stance","rectangles, shield slabs, controlled angular plates",deep olive skin #59652F; blackened steel #3E4142; muted red #7B3428; brass #A06B35,"blackened steel plates, battered brass, thick leather, dense military cloth","organized heavy armor assembled from captured human pieces, standardized red tabard, open-face helmet, reinforced greaves",hobgoblin sword; tower shield,large tower shield and upright disciplined posture,none,"Unlike chaotic goblins, hobgoblins drill as soldiers. They form the King’s reliable defensive line.",rig_hobgoblin_large_humanoid,anim_enemy_humanoid_melee,"5,000–8,000",1024×1024,Multi-view Image to 3D,body; sword; tower shield,hand_r_weapon; hand_l_shield; back_weapon; head_fx; feet_fx,Clearly a different military caste; taller than heroes’ waistline and common goblins; armor appears standardized; tower shield can animate without leg collision; face remains goblinoid.
enemy_goblin_ranger_001,Patrulheiro Goblin,Goblin Ranger,Goblin Clans,Elite Enemy,Precision ranged / traps / mobility,Elite,1.35,5.0,lean experienced goblin; slightly taller than archer; balanced and alert,"longbow curve, short shoulder cape and visible trap satchel shapes","long diagonals, curved bow limbs and controlled asymmetry",dark moss #465A32; leather #5E3C28; charcoal #343A37; amber accent #C79038,"treated leather, dark cloth, flexible wood, bronze trap components, rope","layered ranger jerkin, short shoulder cape, bracers, knee protection, compact trap satchels and rope coil",goblin longbow; trap satchel; compact quiver,longbow and trap satchel silhouette,none; trap VFX separate,Veteran trackers who patrol hidden shafts and ambush routes. They use fewer arrows and far better aim than common archers.,rig_goblin_small_humanoid,anim_enemy_goblin_ranged,"5,000–8,000",1024×1024,Multi-view Image to 3D,body; longbow; compact quiver; trap satchel,hand_l_bow; hand_r_arrow; back_quiver; hip_trap_l; hip_trap_r; head_fx,"Instantly distinguishable from Archer by longbow, darker palette and trap shapes; elite without looking magical; satchels do not block hip or leg animation."
