asset_id,prompt_type,path,tier,family_key
equipment_sword_1h_t01_base,concept_sheet,Prompts/ConceptArt/equipment_sword_1h_t01_base_concept_sheet.txt,1,sword_1h
equipment_sword_1h_t01_base,meshy_geometry,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t01_base_geometry.txt,1,sword_1h
equipment_sword_1h_t01_base,texture_variants,Prompts/TextureVariants/equipment_sword_1h_t01_base_rarity_variants.txt,1,sword_1h
equipment_sword_1h_t02_base,concept_sheet,Prompts/ConceptArt/equipment_sword_1h_t02_base_concept_sheet.txt,2,sword_1h
equipment_sword_1h_t02_base,meshy_geometry,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t02_base_geometry.txt,2,sword_1h
equipment_sword_1h_t02_base,texture_variants,Prompts/TextureVariants/equipment_sword_1h_t02_base_rarity_variants.txt,2,sword_1h
equipment_sword_1h_t03_base,concept_sheet,Prompts/ConceptArt/equipment_sword_1h_t03_base_concept_sheet.txt,3,sword_1h
equipment_sword_1h_t03_base,meshy_geometry,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t03_base_geometry.txt,3,sword_1h
equipment_sword_1h_t03_base,texture_variants,Prompts/TextureVariants/equipment_sword_1h_t03_base_rarity_variants.txt,3,sword_1h
equipment_sword_1h_t04_base,concept_sheet,Prompts/ConceptArt/equipment_sword_1h_t04_base_concept_sheet.txt,4,sword_1h
equipment_sword_1h_t04_base,meshy_geometry,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t04_base_geometry.txt,4,sword_1h
equipment_sword_1h_t04_base,texture_variants,Prompts/TextureVariants/equipment_sword_1h_t04_base_rarity_variants.txt,4,sword_1h
equipment_sword_1h_t05_base,concept_sheet,Prompts/ConceptArt/equipment_sword_1h_t05_base_concept_sheet.txt,5,sword_1h
equipment_sword_1h_t05_base,meshy_geometry,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t05_base_geometry.txt,5,sword_1h
equipment_sword_1h_t05_base,texture_variants,Prompts/TextureVariants/equipment_sword_1h_t05_base_rarity_variants.txt,5,sword_1h
equipment_sword_1h_t06_base,concept_sheet,Prompts/ConceptArt/equipment_sword_1h_t06_base_concept_sheet.txt,6,sword_1h
equipment_sword_1h_t06_base,meshy_geometry,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t06_base_geometry.txt,6,sword_1h
equipment_sword_1h_t06_base,texture_variants,Prompts/TextureVariants/equipment_sword_1h_t06_base_rarity_variants.txt,6,sword_1h
equipment_sword_1h_t07_base,concept_sheet,Prompts/ConceptArt/equipment_sword_1h_t07_base_concept_sheet.txt,7,sword_1h
equipment_sword_1h_t07_base,meshy_geometry,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t07_base_geometry.txt,7,sword_1h
equipment_sword_1h_t07_base,texture_variants,Prompts/TextureVariants/equipment_sword_1h_t07_base_rarity_variants.txt,7,sword_1h
equipment_sword_1h_t08_base,concept_sheet,Prompts/ConceptArt/equipment_sword_1h_t08_base_concept_sheet.txt,8,sword_1h
equipment_sword_1h_t08_base,meshy_geometry,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t08_base_geometry.txt,8,sword_1h
equipment_sword_1h_t08_base,texture_variants,Prompts/TextureVariants/equipment_sword_1h_t08_base_rarity_variants.txt,8,sword_1h
equipment_sword_1h_t09_base,concept_sheet,Prompts/ConceptArt/equipment_sword_1h_t09_base_concept_sheet.txt,9,sword_1h
equipment_sword_1h_t09_base,meshy_geometry,Prompts/Meshy/BaseGeometry/equipment_sword_1h_t09_base_geometry.txt,9,sword_1h
equipment_sword_1h_t09_base,texture_variants,Prompts/TextureVariants/equipment_sword_1h_t09_base_rarity_variants.txt,9,sword_1h
equipment_shield_t01_base,concept_sheet,Prompts/ConceptArt/equipment_shield_t01_base_concept_sheet.txt,1,shield
