prompt_id,domain,prompt_type,path,characters,words,sha256
fb064c56f131,Character,Concept,Prompts/Characters/ConceptArt/boss_goblin_chieftain_001_concept_sheet.txt,3294,460,255a0fbbc48775584ea65ec72c71e27ee425e3c79259bae19c4e99fde1af9ac0
c7bcc138f1f8,Character,Concept,Prompts/Characters/ConceptArt/boss_goblin_king_001_concept_sheet.txt,3701,512,ccb6b3583a567b217c671e4e6545d0fc41c15f6f2c84bb8f3f35c04072dab9d0
36ef8a39253f,Character,Concept,Prompts/Characters/ConceptArt/enemy_goblin_archer_001_concept_sheet.txt,3079,422,fc87050c35f868d6c569043ffecd4ca9cc973e2e8aef0e64fbaf59daf038381c
3c6336d9ae88,Character,Concept,Prompts/Characters/ConceptArt/enemy_goblin_high_shaman_001_concept_sheet.txt,3418,473,8889044aafc16cfe517d8af92ba01650fa5dd11a5288e849e98897b3d29dee6f
cc8998238a12,Character,Concept,Prompts/Characters/ConceptArt/enemy_goblin_ranger_001_concept_sheet.txt,3138,435,f030598dd3d5f437cdf27a514bc9b1b3d12470759babf7d3139f43d4cbae2605
e860baa8003e,Character,Concept,Prompts/Characters/ConceptArt/enemy_goblin_scavenger_001_concept_sheet.txt,3176,443,55745f52bc14e281fbe8c7cb224ce22231f551cba479d9665edf1f85b1bcff09
ddf9e92dc44c,Character,Concept,Prompts/Characters/ConceptArt/enemy_goblin_shaman_001_concept_sheet.txt,3204,448,dae9abff6daac0cde8d297413e799e9f9b1d664505468285ebf73c550e154175
0539b223da02,Character,Concept,Prompts/Characters/ConceptArt/enemy_goblin_warrior_001_concept_sheet.txt,3140,432,6ae8b0225337bd1520a428fde379af810fe9c4683a483736c1d343512a0ab21d
0b9250c717f0,Character,Concept,Prompts/Characters/ConceptArt/enemy_hobgoblin_knight_001_concept_sheet.txt,3128,426,45599a2f2fac5066674265ff6481479dae8fca5dcd0b9f6d146c601035e5dc61
f35c93d710b3,Character,Concept,Prompts/Characters/ConceptArt/hero_archer_001_concept_sheet.txt,3317,460,b3d568317f734da7b6e7910c13aa0acecac9aff3c8369ee58da61ad3d4367530
3a29e2db302c,Character,Concept,Prompts/Characters/ConceptArt/hero_mage_001_concept_sheet.txt,3323,466,3ba937cbf3ed75073eb6f889e9a0a7d90c6f00920e63df776d07333e12739994
9d2ac34ddb3d,Character,Concept,Prompts/Characters/ConceptArt/hero_paladin_001_concept_sheet.txt,3367,466,624c0288182c098798eb4c2893bd807062bfd7a80a50ad9cad18522847bfc4a4
359a7dc14da1,Character,Geometry,Prompts/Characters/Meshy/boss_goblin_chieftain_001_meshy_character.txt,2741,372,dfe33a95101ffb40dc8d3a817e33f1a1ee94b5ef34c8e88d39bdb9a3ad1471c8
b75fcd6d9891,Character,Geometry,Prompts/Characters/Meshy/boss_goblin_king_001_meshy_character.txt,3012,406,9b40aea6ff2f1bfc8ee37a56f54e92fd99f6541746d82cc3972aefc1a32afe8d
43b812339903,Character,Geometry,Prompts/Characters/Meshy/enemy_goblin_archer_001_meshy_character.txt,2597,345,c23b449533a377f691a678d7b179da922910e9873eb4ee856528062b51fff30b
57ce8b7ba593,Character,Geometry,Prompts/Characters/Meshy/enemy_goblin_high_shaman_001_meshy_character.txt,2875,390,c772da1ffc21e13bacae66d833b2f9673176b4e64fca693c1903e7248a5a2d58
fe1f4fc47967,Character,Geometry,Prompts/Characters/Meshy/enemy_goblin_ranger_001_meshy_character.txt,2633,351,8dc0d55a03e4d74981e3c1b02d4f1a13f32809d7eb65064a286393c280047624
cf3d5c106490,Character,Geometry,Prompts/Characters/Meshy/enemy_goblin_scavenger_001_meshy_character.txt,2684,354,fe328824d4e28e62c822cb88f2fc6e357e68fd5c64d161bf45259ebf0a61e0ac
ef83cc725e11,Character,Geometry,Prompts/Characters/Meshy/enemy_goblin_shaman_001_meshy_character.txt,2708,362,eddfa4c08873428f9cb1194d9eedfff4e439d4cf2becc832ce7fc28f823d452e
eb3b23cea63b,Character,Geometry,Prompts/Characters/Meshy/enemy_goblin_warrior_001_meshy_character.txt,2649,354,812590aefb70594f884259d582dfa50679698c39829c434229dfc62d72bf2923
14ed82c732fa,Character,Geometry,Prompts/Characters/Meshy/enemy_hobgoblin_knight_001_meshy_character.txt,2636,345,88d449778e1f74ba43fb1d383fec273895df37014acceca13e99b4973b1bba17
50b5828bf03c,Character,Geometry,Prompts/Characters/Meshy/hero_archer_001_meshy_character.txt,2757,365,b21d751a28c0ed3c89946005c2f5264c6624292dbef4c1ceafd403e218858ff0
9b9085809698,Character,Geometry,Prompts/Characters/Meshy/hero_mage_001_meshy_character.txt,2764,374,8f2e2c7e73043dcc89d9152869a4721c2213c5d5d2c66ec92f8081a4b978038d
dff0cb53d701,Character,Geometry,Prompts/Characters/Meshy/hero_paladin_001_meshy_character.txt,2804,371,c4a0e8c4c95091c9c814c4ca7d4ef907bc3641e6779ab3a8ed12a45e95e3ce43
33d535fcf1e7,Character,Texture,Prompts/Characters/Texture/boss_goblin_chieftain_001_texture.txt,987,134,3dbf5bb7410ac20c21c74974fa8168fdccf5d8e3a080891cf4aa00b1c7aadfa3
d8762de51de1,Character,Texture,Prompts/Characters/Texture/boss_goblin_king_001_texture.txt,1114,154,039754bb81a018f7792d2e53a937609f8dd709bfb1d33826e9556b4704e8f717
224af0f11980,Character,Texture,Prompts/Characters/Texture/enemy_goblin_archer_001_texture.txt,903,122,83a5383d2507b0478d929f90f853b071dd35f595e096a53571f365da10629bc5
