asset_id,display_name_pt,display_name_en,profession,tier,priority,production_phase,meshy_method,source_art_required,scale_m,lod0_tri_min,lod0_tri_max,texture_resolution,required_sockets,design_brief,concept_prompt_path,meshy_prompt_path,texture_prompt_path
station_alchemist_t01_001,Laboratório T1,Laboratory T1,Alquimista,T1,P0,Vertical Slice,Text to 3D,Optional,3.5,4000,6500,1024x1024,WORK_CAULDRON; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Laboratory milestone station for Alquimista, Aprendiz / Fronteira; irregular, organic and clustered; includes cauldron, bottles, tubes, herb rack, burner, mortar and a clear mixing position",Prompts/ConceptArt/station_alchemist_t01_001_concept_sheet.txt,Prompts/Meshy/station_alchemist_t01_001_geometry.txt,Prompts/Texture/station_alchemist_t01_001_texture.txt
station_blacksmith_t01_001,Forja T1,Forge T1,Ferreiro,T1,P0,Vertical Slice,Text to 3D,Optional,3.5,4000,6500,1024x1024,WORK_ANVIL; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Forge milestone station for Ferreiro, Aprendiz / Fronteira; square, heavy and grounded; includes furnace, anvil, bellows, tool rack, coal or ember bed and a clear hammering work area",Prompts/ConceptArt/station_blacksmith_t01_001_concept_sheet.txt,Prompts/Meshy/station_blacksmith_t01_001_geometry.txt,Prompts/Texture/station_blacksmith_t01_001_texture.txt
station_enchanter_t01_001,Mesa Arcana T1,Arcane Table T1,Encantador,T1,P0,Vertical Slice,Text to 3D,Optional,3.5,4000,6500,1024x1024,WORK_RUNE_TABLE; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Arcane Table milestone station for Encantador, Aprendiz / Fronteira; circular, vertical and centered; includes runic table, crystals, books, inscription tools, one controlled floating focus and a clear channeling position",Prompts/ConceptArt/station_enchanter_t01_001_concept_sheet.txt,Prompts/Meshy/station_enchanter_t01_001_geometry.txt,Prompts/Texture/station_enchanter_t01_001_texture.txt
station_gatherer_t01_001,Acampamento de Expedição T1,Expedition Camp T1,Coletador,T1,P0,Vertical Slice,Text to 3D,Optional,3.5,4000,6500,1024x1024,WORK_MAP_TABLE; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Expedition Camp milestone station for Coletador, Aprendiz / Fronteira; triangular, robust and portable; includes small shelter, backpack, maps, crates, rope, mining or gathering tools and a clear planning position",Prompts/ConceptArt/station_gatherer_t01_001_concept_sheet.txt,Prompts/Meshy/station_gatherer_t01_001_geometry.txt,Prompts/Texture/station_gatherer_t01_001_texture.txt
station_tailor_t01_001,Ateliê T1,Atelier T1,Costureiro,T1,P0,Vertical Slice,Text to 3D,Optional,3.5,4000,6500,1024x1024,WORK_BENCH; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Atelier milestone station for Costureiro, Aprendiz / Fronteira; horizontal, organized and layered; includes workbench, mannequin, fabric rolls, leather sheets, thread spools, cutting tools and a clear sewing work area",Prompts/ConceptArt/station_tailor_t01_001_concept_sheet.txt,Prompts/Meshy/station_tailor_t01_001_geometry.txt,Prompts/Texture/station_tailor_t01_001_texture.txt
station_alchemist_t03_001,Laboratório T3,Laboratory T3,Alquimista,T3,P1,MVP,Text to 3D,Optional,3.5,5000,7500,1024x1024,WORK_CAULDRON; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Laboratory milestone station for Alquimista, Proficiente / Rúnico; irregular, organic and clustered; includes cauldron, bottles, tubes, herb rack, burner, mortar and a clear mixing position",Prompts/ConceptArt/station_alchemist_t03_001_concept_sheet.txt,Prompts/Meshy/station_alchemist_t03_001_geometry.txt,Prompts/Texture/station_alchemist_t03_001_texture.txt
station_blacksmith_t03_001,Forja T3,Forge T3,Ferreiro,T3,P1,MVP,Text to 3D,Optional,3.5,5000,7500,1024x1024,WORK_ANVIL; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Forge milestone station for Ferreiro, Proficiente / Rúnico; square, heavy and grounded; includes furnace, anvil, bellows, tool rack, coal or ember bed and a clear hammering work area",Prompts/ConceptArt/station_blacksmith_t03_001_concept_sheet.txt,Prompts/Meshy/station_blacksmith_t03_001_geometry.txt,Prompts/Texture/station_blacksmith_t03_001_texture.txt
station_enchanter_t03_001,Mesa Arcana T3,Arcane Table T3,Encantador,T3,P1,MVP,Text to 3D,Optional,3.5,5000,7500,1024x1024,WORK_RUNE_TABLE; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Arcane Table milestone station for Encantador, Proficiente / Rúnico; circular, vertical and centered; includes runic table, crystals, books, inscription tools, one controlled floating focus and a clear channeling position",Prompts/ConceptArt/station_enchanter_t03_001_concept_sheet.txt,Prompts/Meshy/station_enchanter_t03_001_geometry.txt,Prompts/Texture/station_enchanter_t03_001_texture.txt
station_gatherer_t03_001,Acampamento de Expedição T3,Expedition Camp T3,Coletador,T3,P1,MVP,Text to 3D,Optional,3.5,5000,7500,1024x1024,WORK_MAP_TABLE; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Expedition Camp milestone station for Coletador, Proficiente / Rúnico; triangular, robust and portable; includes small shelter, backpack, maps, crates, rope, mining or gathering tools and a clear planning position",Prompts/ConceptArt/station_gatherer_t03_001_concept_sheet.txt,Prompts/Meshy/station_gatherer_t03_001_geometry.txt,Prompts/Texture/station_gatherer_t03_001_texture.txt
station_tailor_t03_001,Ateliê T3,Atelier T3,Costureiro,T3,P1,MVP,Text to 3D,Optional,3.5,5000,7500,1024x1024,WORK_BENCH; INTERACT_WORK; OUTPUT_SPAWN; CAMERA_FOCUS; AUDIO_WORK; VFX_PRIMARY; VFX_SECONDARY,"Atelier milestone station for Costureiro, Proficiente / Rúnico; horizontal, organized and layered; includes workbench, mannequin, fabric rolls, leather sheets, thread spools, cutting tools and a clear sewing work area",Prompts/ConceptArt/station_tailor_t03_001_concept_sheet.txt,Prompts/Meshy/station_tailor_t03_001_geometry.txt,Prompts/Texture/station_tailor_t03_001_texture.txt
