asset_id,display_name_pt,display_name_en,asset_class,category,subcategory,faction_or_system,gameplay_role,production_phase,priority,tier,rarity_strategy,profession,biome,meshy_eligible,meshy_method,source_art_required,modularity,rig_type,animation_set,lod_required,lod0_tri_min,lod0_tri_max,lod1_ratio,lod2_ratio,texture_resolution,texture_maps,material_slots_max,scale_m,pivot,collider,export_format,unity_import_path,prefab_path,reuse_group,dependencies,expected_variants,status,approval_criteria,notes,source_reference,design_brief,grid_standard,snap_rule,biome_material_kit,approved_palette,required_sockets,unity_effects,concept_prompt_path,meshy_prompt_path,texture_prompt_path,approval_gate
env_goblin_mine_camp_gate_001,Portão do Acampamento,Camp Gate,3D Model,Environment,large prop,Goblin Mine,Modular environment kit,Vertical Slice,P0,N/A,None,None,Goblin Mine,Yes,Image to 3D,Yes,Modular kit piece,None,None,Yes,2500,6000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,5.0,Base center; grid-aligned where modular,Simple mesh/box collider,FBX,Assets/_Game/Art/Environments/goblin_mine/Models,Assets/_Game/Prefabs/Environments/goblin_mine/PF_camp_gate.prefab,goblin_mine_large prop,Goblin Mine modular grid; material library,1,Planned,Grid alignment; readable silhouette; no hidden internal geometry; collision-safe; battle center remains clear,,ART_REF_001 + Visual Bible v1.0,"improvised goblin camp gate made from uneven timber posts, scavenged iron plates, rope lashings and one broad readable opening",4m grid,Exact boundary dimensions; origin at base center; no protrusion across snap plane,mat_goblin_wood; mat_goblin_earth; mat_goblin_stone; mat_goblin_scrap_iron; mat_goblin_rope_hide,#5B3B27 #536A3B #58636A #7A4C2D #D47A2A,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W; CAMERA_FOCUS; INTERACT_PRIMARY,"Torch flame, ember, smoke and subtle moss variation are Unity VFX/material work; do not bake them into geometry.",Prompts/ConceptArt/env_goblin_mine_camp_gate_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_camp_gate_001_geometry.txt,Prompts/Texture/env_goblin_mine_camp_gate_001_texture.txt,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_goblin_barrel_001,Barril Goblin,Goblin Barrel,3D Model,Environment,prop,Goblin Mine,Modular environment kit,Vertical Slice,P0,N/A,None,None,Goblin Mine,Yes,Text to 3D,Optional,Modular kit piece,None,None,Yes,400,900,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,1.0,Base center; grid-aligned where modular,Simple mesh/box collider,FBX,Assets/_Game/Art/Environments/goblin_mine/Models,Assets/_Game/Prefabs/Environments/goblin_mine/PF_goblin_barrel.prefab,goblin_mine_prop,Goblin Mine modular grid; material library,1,Planned,Grid alignment; readable silhouette; no hidden internal geometry; collision-safe; battle center remains clear,,ART_REF_001 + Visual Bible v1.0,"squat reinforced goblin barrel with uneven staves, thick iron bands and a chunky asymmetrical lid",free placement on 0.25m increments,Base centered; stable footprint; no accidental overhang below ground,mat_goblin_wood; mat_goblin_earth; mat_goblin_stone; mat_goblin_scrap_iron; mat_goblin_rope_hide,#5B3B27 #536A3B #58636A #7A4C2D #D47A2A,CAMERA_FOCUS optional,"Torch flame, ember, smoke and subtle moss variation are Unity VFX/material work; do not bake them into geometry.",Prompts/ConceptArt/env_goblin_mine_goblin_barrel_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_goblin_barrel_001_geometry.txt,Prompts/Texture/env_goblin_mine_goblin_barrel_001_texture.txt,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_goblin_crate_001,Caixote Goblin,Goblin Crate,3D Model,Environment,prop,Goblin Mine,Modular environment kit,Vertical Slice,P0,N/A,None,None,Goblin Mine,Yes,Text to 3D,Optional,Modular kit piece,None,None,Yes,350,800,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,1.0,Base center; grid-aligned where modular,Simple mesh/box collider,FBX,Assets/_Game/Art/Environments/goblin_mine/Models,Assets/_Game/Prefabs/Environments/goblin_mine/PF_goblin_crate.prefab,goblin_mine_prop,Goblin Mine modular grid; material library,1,Planned,Grid alignment; readable silhouette; no hidden internal geometry; collision-safe; battle center remains clear,,ART_REF_001 + Visual Bible v1.0,"rough goblin storage crate with oversized corner braces, rope handles and a simple stackable box silhouette",free placement on 0.25m increments,Base centered; stable footprint; no accidental overhang below ground,mat_goblin_wood; mat_goblin_earth; mat_goblin_stone; mat_goblin_scrap_iron; mat_goblin_rope_hide,#5B3B27 #536A3B #58636A #7A4C2D #D47A2A,CAMERA_FOCUS optional,"Torch flame, ember, smoke and subtle moss variation are Unity VFX/material work; do not bake them into geometry.",Prompts/ConceptArt/env_goblin_mine_goblin_crate_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_goblin_crate_001_geometry.txt,Prompts/Texture/env_goblin_mine_goblin_crate_001_texture.txt,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_goblin_king_throne_001,Trono do Rei Goblin,Goblin King Throne,3D Model,Environment,hero prop,Goblin Mine,Modular environment kit,Vertical Slice,P0,N/A,None,None,Goblin Mine,Yes,Image to 3D,Yes,Modular kit piece,None,None,Yes,2500,6000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,3.0,Base center; grid-aligned where modular,Simple mesh/box collider,FBX,Assets/_Game/Art/Environments/goblin_mine/Models,Assets/_Game/Prefabs/Environments/goblin_mine/PF_goblin_king_throne.prefab,goblin_mine_hero prop,Goblin Mine modular grid; material library,1,Planned,Grid alignment; readable silhouette; no hidden internal geometry; collision-safe; battle center remains clear,,ART_REF_001 + Visual Bible v1.0,"oversized goblin royal throne assembled from stolen shields, rough timber, scrap metal and a raised relic socket behind the seat",free placement on 0.25m increments,Base centered; stable footprint; no accidental overhang below ground,mat_goblin_wood; mat_goblin_earth; mat_goblin_stone; mat_goblin_scrap_iron; mat_goblin_rope_hide,#5B3B27 #536A3B #58636A #7A4C2D #D47A2A,CAMERA_FOCUS; INTERACT_PRIMARY,"Torch flame, ember, smoke and subtle moss variation are Unity VFX/material work; do not bake them into geometry.",Prompts/ConceptArt/env_goblin_mine_goblin_king_throne_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_goblin_king_throne_001_geometry.txt,Prompts/Texture/env_goblin_mine_goblin_king_throne_001_texture.txt,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_goblin_tent_001,Tenda Goblin,Goblin Tent,3D Model,Environment,large prop,Goblin Mine,Modular environment kit,Vertical Slice,P0,N/A,None,None,Goblin Mine,Yes,Image to 3D,Yes,Modular kit piece,None,None,Yes,1500,4000,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,3.5,Base center; grid-aligned where modular,Simple mesh/box collider,FBX,Assets/_Game/Art/Environments/goblin_mine/Models,Assets/_Game/Prefabs/Environments/goblin_mine/PF_goblin_tent.prefab,goblin_mine_large prop,Goblin Mine modular grid; material library,1,Planned,Grid alignment; readable silhouette; no hidden internal geometry; collision-safe; battle center remains clear,,ART_REF_001 + Visual Bible v1.0,"low asymmetrical goblin command tent with patched hide canopy, bent poles, weighted ropes and a broad entrance flap",free placement on 0.25m increments,Base centered; stable footprint; no accidental overhang below ground,mat_goblin_wood; mat_goblin_earth; mat_goblin_stone; mat_goblin_scrap_iron; mat_goblin_rope_hide,#5B3B27 #536A3B #58636A #7A4C2D #D47A2A,CAMERA_FOCUS,"Torch flame, ember, smoke and subtle moss variation are Unity VFX/material work; do not bake them into geometry.",Prompts/ConceptArt/env_goblin_mine_goblin_tent_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_goblin_tent_001_geometry.txt,Prompts/Texture/env_goblin_mine_goblin_tent_001_texture.txt,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_ground_dirt_tile_001,Piso de Terra,Dirt Ground Tile,3D Model,Environment,tile,Goblin Mine,Modular environment kit,Vertical Slice,P0,N/A,None,None,Goblin Mine,Yes,Text to 3D,Optional,Modular kit piece,None,None,Yes,500,1200,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,4.0,Base center; grid-aligned where modular,Simple mesh/box collider,FBX,Assets/_Game/Art/Environments/goblin_mine/Models,Assets/_Game/Prefabs/Environments/goblin_mine/PF_ground_dirt_tile.prefab,goblin_mine_tile,Goblin Mine modular grid; material library,1,Planned,Grid alignment; readable silhouette; no hidden internal geometry; collision-safe; battle center remains clear,,ART_REF_001 + Visual Bible v1.0,"seamless-looking 4 by 4 meter packed dirt gameplay tile with shallow ruts, compact stones and restrained surface relief",4m grid,Exact boundary dimensions; origin at base center; no protrusion across snap plane,mat_goblin_wood; mat_goblin_earth; mat_goblin_stone; mat_goblin_scrap_iron; mat_goblin_rope_hide,#5B3B27 #536A3B #58636A #7A4C2D #D47A2A,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"Torch flame, ember, smoke and subtle moss variation are Unity VFX/material work; do not bake them into geometry.",Prompts/ConceptArt/env_goblin_mine_ground_dirt_tile_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_ground_dirt_tile_001_geometry.txt,Prompts/Texture/env_goblin_mine_ground_dirt_tile_001_texture.txt,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_ground_stone_tile_001,Piso de Pedra,Stone Ground Tile,3D Model,Environment,tile,Goblin Mine,Modular environment kit,Vertical Slice,P0,N/A,None,None,Goblin Mine,Yes,Text to 3D,Optional,Modular kit piece,None,None,Yes,600,1500,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,4.0,Base center; grid-aligned where modular,Simple mesh/box collider,FBX,Assets/_Game/Art/Environments/goblin_mine/Models,Assets/_Game/Prefabs/Environments/goblin_mine/PF_ground_stone_tile.prefab,goblin_mine_tile,Goblin Mine modular grid; material library,1,Planned,Grid alignment; readable silhouette; no hidden internal geometry; collision-safe; battle center remains clear,,ART_REF_001 + Visual Bible v1.0,"4 by 4 meter rough mine stone floor tile with broad slabs, chipped edges and shallow dirt-filled seams",4m grid,Exact boundary dimensions; origin at base center; no protrusion across snap plane,mat_goblin_wood; mat_goblin_earth; mat_goblin_stone; mat_goblin_scrap_iron; mat_goblin_rope_hide,#5B3B27 #536A3B #58636A #7A4C2D #D47A2A,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"Torch flame, ember, smoke and subtle moss variation are Unity VFX/material work; do not bake them into geometry.",Prompts/ConceptArt/env_goblin_mine_ground_stone_tile_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_ground_stone_tile_001_geometry.txt,Prompts/Texture/env_goblin_mine_ground_stone_tile_001_texture.txt,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_mine_arch_001,Arco de Mina,Mine Arch,3D Model,Environment,structure,Goblin Mine,Modular environment kit,Vertical Slice,P0,N/A,None,None,Goblin Mine,Yes,Image to 3D,Yes,Modular kit piece,None,None,Yes,1000,2800,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,3.0,Base center; grid-aligned where modular,Simple mesh/box collider,FBX,Assets/_Game/Art/Environments/goblin_mine/Models,Assets/_Game/Prefabs/Environments/goblin_mine/PF_mine_arch.prefab,goblin_mine_structure,Goblin Mine modular grid; material library,1,Planned,Grid alignment; readable silhouette; no hidden internal geometry; collision-safe; battle center remains clear,,ART_REF_001 + Visual Bible v1.0,"chunky timber-and-stone mine entrance arch with thick supports, crossbeam and simple reinforcement plates",4m grid,Exact boundary dimensions; origin at base center; no protrusion across snap plane,mat_goblin_wood; mat_goblin_earth; mat_goblin_stone; mat_goblin_scrap_iron; mat_goblin_rope_hide,#5B3B27 #536A3B #58636A #7A4C2D #D47A2A,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"Torch flame, ember, smoke and subtle moss variation are Unity VFX/material work; do not bake them into geometry.",Prompts/ConceptArt/env_goblin_mine_mine_arch_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_arch_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_arch_001_texture.txt,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_mine_cart_001,Carrinho de Minério,Mine Cart,3D Model,Environment,prop,Goblin Mine,Modular environment kit,Vertical Slice,P0,N/A,None,None,Goblin Mine,Yes,Text to 3D,Optional,Modular kit piece,None,None,Yes,1000,2500,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,1.8,Base center; grid-aligned where modular,Simple mesh/box collider,FBX,Assets/_Game/Art/Environments/goblin_mine/Models,Assets/_Game/Prefabs/Environments/goblin_mine/PF_mine_cart.prefab,goblin_mine_prop,Goblin Mine modular grid; material library,1,Planned,Grid alignment; readable silhouette; no hidden internal geometry; collision-safe; battle center remains clear,,ART_REF_001 + Visual Bible v1.0,"small heavy mine cart with thick wheels, raw iron body and readable ore-carrying cavity",free placement on 0.25m increments,Base centered; stable footprint; no accidental overhang below ground,mat_goblin_wood; mat_goblin_earth; mat_goblin_stone; mat_goblin_scrap_iron; mat_goblin_rope_hide,#5B3B27 #536A3B #58636A #7A4C2D #D47A2A,INTERACT_PRIMARY,"Torch flame, ember, smoke and subtle moss variation are Unity VFX/material work; do not bake them into geometry.",Prompts/ConceptArt/env_goblin_mine_mine_cart_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_cart_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_cart_001_texture.txt,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
env_goblin_mine_mine_track_curve_001,Trilho Curvo,Curved Mine Track,3D Model,Environment,modular prop,Goblin Mine,Modular environment kit,Vertical Slice,P0,N/A,None,None,Goblin Mine,Yes,Text to 3D,Optional,Modular kit piece,None,None,Yes,500,1200,0.5,0.2,1024x1024,BaseColor; Normal; Metallic; Roughness; AO; Emission optional,2,4.0,Base center; grid-aligned where modular,Simple mesh/box collider,FBX,Assets/_Game/Art/Environments/goblin_mine/Models,Assets/_Game/Prefabs/Environments/goblin_mine/PF_mine_track_curve.prefab,goblin_mine_modular prop,Goblin Mine modular grid; material library,1,Planned,Grid alignment; readable silhouette; no hidden internal geometry; collision-safe; battle center remains clear,,ART_REF_001 + Visual Bible v1.0,"90-degree curved modular mine track on rough timber sleepers, exactly fitting a 4 meter grid",4m grid,Exact boundary dimensions; origin at base center; no protrusion across snap plane,mat_goblin_wood; mat_goblin_earth; mat_goblin_stone; mat_goblin_scrap_iron; mat_goblin_rope_hide,#5B3B27 #536A3B #58636A #7A4C2D #D47A2A,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"Torch flame, ember, smoke and subtle moss variation are Unity VFX/material work; do not bake them into geometry.",Prompts/ConceptArt/env_goblin_mine_mine_track_curve_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_track_curve_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_track_curve_001_texture.txt,Silhouette readable; correct scale; grid/pivot compliance; material separation; no baked VFX; LOD budget met; mobile camera test passed
