asset_id,display_name_pt,display_name_en,biome,subcategory,priority,production_phase,meshy_method,source_art_required,scale_m,grid_standard,lod0_tri_min,lod0_tri_max,texture_resolution,material_slots_max,required_sockets,design_brief,concept_prompt_path,meshy_prompt_path,texture_prompt_path
env_goblin_mine_camp_gate_001,Portão do Acampamento,Camp Gate,Goblin Mine,large prop,P0,Vertical Slice,Image to 3D,Yes,5.0,4m grid,2500,6000,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W; CAMERA_FOCUS; INTERACT_PRIMARY,"improvised goblin camp gate made from uneven timber posts, scavenged iron plates, rope lashings and one broad readable opening",Prompts/ConceptArt/env_goblin_mine_camp_gate_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_camp_gate_001_geometry.txt,Prompts/Texture/env_goblin_mine_camp_gate_001_texture.txt
env_goblin_mine_goblin_barrel_001,Barril Goblin,Goblin Barrel,Goblin Mine,prop,P0,Vertical Slice,Text to 3D,Optional,1.0,free placement on 0.25m increments,400,900,1024x1024,2,CAMERA_FOCUS optional,"squat reinforced goblin barrel with uneven staves, thick iron bands and a chunky asymmetrical lid",Prompts/ConceptArt/env_goblin_mine_goblin_barrel_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_goblin_barrel_001_geometry.txt,Prompts/Texture/env_goblin_mine_goblin_barrel_001_texture.txt
env_goblin_mine_goblin_crate_001,Caixote Goblin,Goblin Crate,Goblin Mine,prop,P0,Vertical Slice,Text to 3D,Optional,1.0,free placement on 0.25m increments,350,800,1024x1024,2,CAMERA_FOCUS optional,"rough goblin storage crate with oversized corner braces, rope handles and a simple stackable box silhouette",Prompts/ConceptArt/env_goblin_mine_goblin_crate_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_goblin_crate_001_geometry.txt,Prompts/Texture/env_goblin_mine_goblin_crate_001_texture.txt
env_goblin_mine_goblin_king_throne_001,Trono do Rei Goblin,Goblin King Throne,Goblin Mine,hero prop,P0,Vertical Slice,Image to 3D,Yes,3.0,free placement on 0.25m increments,2500,6000,1024x1024,2,CAMERA_FOCUS; INTERACT_PRIMARY,"oversized goblin royal throne assembled from stolen shields, rough timber, scrap metal and a raised relic socket behind the seat",Prompts/ConceptArt/env_goblin_mine_goblin_king_throne_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_goblin_king_throne_001_geometry.txt,Prompts/Texture/env_goblin_mine_goblin_king_throne_001_texture.txt
env_goblin_mine_goblin_tent_001,Tenda Goblin,Goblin Tent,Goblin Mine,large prop,P0,Vertical Slice,Image to 3D,Yes,3.5,free placement on 0.25m increments,1500,4000,1024x1024,2,CAMERA_FOCUS,"low asymmetrical goblin command tent with patched hide canopy, bent poles, weighted ropes and a broad entrance flap",Prompts/ConceptArt/env_goblin_mine_goblin_tent_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_goblin_tent_001_geometry.txt,Prompts/Texture/env_goblin_mine_goblin_tent_001_texture.txt
env_goblin_mine_ground_dirt_tile_001,Piso de Terra,Dirt Ground Tile,Goblin Mine,tile,P0,Vertical Slice,Text to 3D,Optional,4.0,4m grid,500,1200,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"seamless-looking 4 by 4 meter packed dirt gameplay tile with shallow ruts, compact stones and restrained surface relief",Prompts/ConceptArt/env_goblin_mine_ground_dirt_tile_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_ground_dirt_tile_001_geometry.txt,Prompts/Texture/env_goblin_mine_ground_dirt_tile_001_texture.txt
env_goblin_mine_ground_stone_tile_001,Piso de Pedra,Stone Ground Tile,Goblin Mine,tile,P0,Vertical Slice,Text to 3D,Optional,4.0,4m grid,600,1500,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"4 by 4 meter rough mine stone floor tile with broad slabs, chipped edges and shallow dirt-filled seams",Prompts/ConceptArt/env_goblin_mine_ground_stone_tile_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_ground_stone_tile_001_geometry.txt,Prompts/Texture/env_goblin_mine_ground_stone_tile_001_texture.txt
env_goblin_mine_mine_arch_001,Arco de Mina,Mine Arch,Goblin Mine,structure,P0,Vertical Slice,Image to 3D,Yes,3.0,4m grid,1000,2800,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"chunky timber-and-stone mine entrance arch with thick supports, crossbeam and simple reinforcement plates",Prompts/ConceptArt/env_goblin_mine_mine_arch_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_arch_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_arch_001_texture.txt
env_goblin_mine_mine_cart_001,Carrinho de Minério,Mine Cart,Goblin Mine,prop,P0,Vertical Slice,Text to 3D,Optional,1.8,free placement on 0.25m increments,1000,2500,1024x1024,2,INTERACT_PRIMARY,"small heavy mine cart with thick wheels, raw iron body and readable ore-carrying cavity",Prompts/ConceptArt/env_goblin_mine_mine_cart_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_cart_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_cart_001_texture.txt
env_goblin_mine_mine_track_curve_001,Trilho Curvo,Curved Mine Track,Goblin Mine,modular prop,P0,Vertical Slice,Text to 3D,Optional,4.0,4m grid,500,1200,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"90-degree curved modular mine track on rough timber sleepers, exactly fitting a 4 meter grid",Prompts/ConceptArt/env_goblin_mine_mine_track_curve_001_concept_sheet.txt,Prompts/Meshy/env_goblin_mine_mine_track_curve_001_geometry.txt,Prompts/Texture/env_goblin_mine_mine_track_curve_001_texture.txt
